"plot_id","Strata","datum","utm_zone","utm_easting","utm_northing"
182,"Low-Mid Stocking","NAD83","12N",312167.157480995,5196926.98435758
183,"Low-Mid Stocking","NAD83","12N",313069.836650211,5196950.87374131
184,"Low-Mid Stocking","NAD83","12N",313968.817836395,5196961.78100897
185,"Mid Stocking","NAD83","12N",314871.039643373,5196985.0428676
186,"Mid Stocking","NAD83","12N",315769.739194805,5196999.84622221
187,"High Stocking","NAD83","12N",316672.406554943,5197018.79747707
188,"Mid-High Stocking","NAD83","12N",319372.079707181,5197067.96588721
189,"Mid-High Stocking","NAD83","12N",323867.712850177,5197156.92454502
190,"Mid Stocking","NAD83","12N",309027.388464368,5196419.86376038
192,"Mid Stocking","NAD83","12N",311727.839813175,5196473.07136144
194,"Low-Mid Stocking","NAD83","12N",313527.804495117,5196501.76198409
196,"Low-Mid Stocking","NAD83","12N",315328.683602368,5196539.06970775
197,"Mid-High Stocking","NAD83","12N",316229.870039194,5196558.38258356
198,"Low-Mid Stocking","NAD83","12N",317130.253348157,5196577.50188136
199,"Mid-High Stocking","NAD83","12N",318931.061532582,5196610.41157762
200,"Low-Mid Stocking","NAD83","12N",309483.430428097,5195980.11318469
201,"Low-Mid Stocking","NAD83","12N",312184.068013138,5196032.59015282
202,"Mid Stocking","NAD83","12N",313091.584976624,5196047.60478117
203,"Mid Stocking","NAD83","12N",313989.13372927,5196064.69599344
204,"Mid Stocking","NAD83","12N",314885.587691225,5196082.58398035
205,"Mid-High Stocking","NAD83","12N",315786.436829572,5196097.68840789
206,"Low-Mid Stocking","NAD83","12N",316688.63310986,5196113.68288315
207,"Low-Mid Stocking","NAD83","12N",319386.078741708,5196169.08410275
208,"Mid Stocking","NAD83","12N",322089.907816058,5196221.70636973
209,"Low-Mid Stocking","NAD83","12N",322990.907209466,5196236.99654104
211,"Mid Stocking","NAD83","12N",313544.790699898,5195606.10564078
212,"Mid-High Stocking","NAD83","12N",314443.610758974,5195629.39436291
213,"Mid Stocking","NAD83","12N",315346.215995359,5195641.51591514
214,"Mid-High Stocking","NAD83","12N",317150.7432007,5195675.48773311
215,"Mid-High Stocking","NAD83","12N",318944.160620474,5195708.3133804
216,"High Stocking","NAD83","12N",321650.018857796,5195762.05226299
217,"Low-Mid Stocking","NAD83","12N",322550.564625928,5195778.58750174
218,"Mid Stocking","NAD83","12N",323448.684913307,5195795.22513295
221,"Low-Mid Stocking","NAD83","12N",314904.684012352,5195181.66775624
222,"High Stocking","NAD83","12N",316709.094556407,5195219.27598745
223,"Mid-High Stocking","NAD83","12N",317611.950100513,5195234.5633727
224,"Low-Mid Stocking","NAD83","12N",320305.185773053,5195283.60005641
227,"Mid Stocking","NAD83","12N",323909.550239899,5195356.97038439
228,"Low-Mid Stocking","NAD83","12N",310861.566713673,5194647.98385039
229,"Mid-High Stocking","NAD83","12N",313559.580970024,5194693.41515286
230,"Mid-High Stocking","NAD83","12N",314462.1776256,5194720.25497558
231,"Mid-High Stocking","NAD83","12N",317167.857664267,5194771.60359181
232,"Mid Stocking","NAD83","12N",318061.558666985,5194787.51470769
234,"Low-Mid Stocking","NAD83","12N",320765.298371654,5194845.60201983
235,"Mid-High Stocking","NAD83","12N",323469.284004127,5194899.14454056
236,"Mid Stocking","NAD83","12N",324364.824666019,5194912.11582781
237,"Low-Mid Stocking","NAD83","12N",312223.491506803,5194231.91546242
238,"Mid-High Stocking","NAD83","12N",314021.017975786,5194266.25302168
239,"Mid Stocking","NAD83","12N",316718.778398157,5194310.56049068
240,"Mid-High Stocking","NAD83","12N",317626.592539838,5194325.70498132
